                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.69645,                0.39148,                0.86066,                0.97753,                0.96529,                0.98408,                0.79724,                0.61614,                0.31453,                0.86121,                0.00505,                0.00505,                0.00505
                     52,                0.68968,                0.38956,                0.85932,                0.97319,                0.96759,                0.98405,                 0.7993,                0.61092,                0.31381,                0.86036,               0.004951,               0.004951,               0.004951
                     53,                0.68177,                0.38506,                0.85805,                0.97641,                0.96736,                0.98328,                0.80111,                0.60193,                0.30969,                0.86047,               0.004852,               0.004852,               0.004852
                     54,                0.68162,                0.38409,                0.85761,                0.98266,                0.96714,                0.98362,                0.80265,                0.59958,                0.30767,                0.85853,               0.004753,               0.004753,               0.004753
                     55,                0.67441,                0.37903,                0.85553,                0.97972,                0.97121,                0.98531,                0.80194,                0.60151,                0.30749,                0.86026,               0.004654,               0.004654,               0.004654
                     56,                0.66876,                0.37606,                0.85513,                0.98452,                0.96601,                0.98504,                0.80082,                0.59506,                0.30302,                0.85718,               0.004555,               0.004555,               0.004555
                     57,                 0.6659,                0.37506,                0.85341,                 0.9832,                  0.971,                0.98532,                0.80556,                0.59377,                 0.3006,                 0.8572,               0.004456,               0.004456,               0.004456
                     58,                0.66546,                0.37453,                0.85421,                0.98424,                0.97293,                0.98587,                0.80587,                0.59096,                0.30178,                0.85607,               0.004357,               0.004357,               0.004357
                     59,                0.65659,                0.36931,                0.85172,                0.97922,                0.96734,                0.98325,                 0.8076,                0.58265,                0.29824,                0.85474,               0.004258,               0.004258,               0.004258
                     60,                0.65372,                0.36729,                0.85147,                0.98302,                0.96952,                0.98413,                0.80747,                  0.584,                0.29818,                0.85571,               0.004159,               0.004159,               0.004159
                     61,                0.65604,                0.36717,                0.85167,                0.98426,                0.97176,                0.98529,                0.81104,                0.58148,                0.29083,                0.85443,                0.00406,                0.00406,                0.00406
                     62,                0.63991,                0.36178,                0.84676,                0.98228,                0.97127,                0.98513,                0.81034,                0.57706,                0.29127,                0.85481,               0.003961,               0.003961,               0.003961
                     63,                0.64138,                0.36206,                0.84899,                0.98034,                0.97206,                0.98567,                0.81627,                0.57554,                0.29149,                0.85392,               0.003862,               0.003862,               0.003862
                     64,                0.63284,                0.35562,                0.84566,                0.98417,                0.97479,                0.98545,                0.81408,                0.56845,                0.28757,                0.85229,               0.003763,               0.003763,               0.003763
                     65,                0.62932,                0.35351,                0.84452,                0.98632,                0.97418,                0.98423,                0.81297,                0.56965,                0.28978,                0.85305,               0.003664,               0.003664,               0.003664
                     66,                 0.6274,                  0.353,                0.84441,                 0.9874,                0.97322,                0.98483,                0.81507,                0.56608,                0.28725,                0.85212,               0.003565,               0.003565,               0.003565
                     67,                0.62915,                0.35401,                0.84711,                0.98424,                0.97706,                 0.9859,                0.81386,                0.56469,                0.28775,                0.85054,               0.003466,               0.003466,               0.003466
                     68,                0.61804,                0.34756,                0.84248,                0.98661,                0.97511,                0.98583,                0.81706,                0.56116,                0.28227,                0.85005,               0.003367,               0.003367,               0.003367
                     69,                0.61825,                0.34714,                0.84352,                 0.9905,                0.97426,                0.98609,                0.81748,                0.55686,                0.28017,                 0.8497,               0.003268,               0.003268,               0.003268
                     70,                0.60752,                0.33996,                0.83941,                0.98916,                0.97415,                0.98635,                 0.8193,                0.55694,                0.28146,                0.84951,               0.003169,               0.003169,               0.003169
                     71,                0.60481,                0.34048,                0.84226,                0.98607,                0.97278,                0.98611,                0.81605,                0.55278,                0.27998,                0.84855,                0.00307,                0.00307,                0.00307
                     72,                0.60192,                0.33931,                0.83913,                0.99173,                0.97599,                0.98671,                0.81937,                0.54753,                0.27797,                0.84711,               0.002971,               0.002971,               0.002971
                     73,                0.59622,                 0.3339,                0.83846,                0.98878,                0.97591,                0.98663,                 0.8212,                0.54601,                0.27669,                0.84665,               0.002872,               0.002872,               0.002872
                     74,                0.59252,                0.33274,                0.83752,                0.98949,                0.97743,                 0.9868,                0.82086,                0.53906,                0.27242,                0.84472,               0.002773,               0.002773,               0.002773
