               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.024868,            0.007225,          0.00072934,             0.96573,             0.94693,             0.97218,             0.72803,            0.018086,           0.0064627,          0.00042094,            0.003466,            0.003466,            0.003466
                  68,             0.02464,           0.0071265,          0.00072973,             0.96556,             0.94816,              0.9724,             0.72614,            0.018027,           0.0064402,          0.00041489,            0.003367,            0.003367,            0.003367
                  69,            0.024502,           0.0072394,          0.00066876,             0.96575,             0.94725,             0.97228,             0.72719,            0.017961,           0.0064213,          0.00040628,            0.003268,            0.003268,            0.003268
                  70,            0.024528,           0.0071873,          0.00070237,             0.96556,             0.94951,             0.97276,             0.72952,            0.017913,           0.0063992,          0.00040633,            0.003169,            0.003169,            0.003169
                  71,            0.024415,           0.0070943,          0.00069709,             0.96766,             0.94589,             0.97236,             0.73039,            0.017832,           0.0063857,           0.0004096,             0.00307,             0.00307,             0.00307
                  72,             0.02399,           0.0069879,          0.00069644,             0.96893,             0.94716,             0.97297,             0.73193,            0.017791,            0.006376,          0.00040633,            0.002971,            0.002971,            0.002971
                  73,            0.023922,           0.0070553,          0.00070716,             0.96953,              0.9489,             0.97306,             0.73173,            0.017762,           0.0063581,          0.00040032,            0.002872,            0.002872,            0.002872
                  74,            0.023474,           0.0069641,          0.00061444,             0.96932,             0.95146,             0.97398,             0.73365,            0.017695,           0.0063382,          0.00039549,            0.002773,            0.002773,            0.002773
                  75,             0.02355,           0.0069202,          0.00057744,             0.96828,              0.9514,             0.97393,              0.7337,             0.01763,           0.0063109,          0.00039127,            0.002674,            0.002674,            0.002674
                  76,            0.023593,           0.0068572,          0.00068642,             0.96857,             0.95088,             0.97404,             0.73287,            0.017569,           0.0062875,          0.00039061,            0.002575,            0.002575,            0.002575
                  77,            0.023062,           0.0068031,          0.00056273,             0.96849,             0.94979,             0.97359,             0.73369,            0.017527,           0.0062751,           0.0003889,            0.002476,            0.002476,            0.002476
                  78,            0.023085,           0.0067594,          0.00060349,             0.96787,             0.95136,             0.97388,             0.73612,            0.017473,           0.0062586,          0.00038686,            0.002377,            0.002377,            0.002377
                  79,            0.022841,           0.0068492,          0.00058981,             0.96657,             0.95272,             0.97385,              0.7371,            0.017407,           0.0062468,          0.00038325,            0.002278,            0.002278,            0.002278
                  80,            0.022489,           0.0066081,          0.00057395,              0.9649,             0.95514,              0.9741,             0.73696,            0.017363,            0.006234,          0.00038161,            0.002179,            0.002179,            0.002179
                  81,            0.022675,           0.0067477,          0.00063515,             0.96538,             0.95558,             0.97449,             0.73719,            0.017314,           0.0062216,          0.00038129,             0.00208,             0.00208,             0.00208
                  82,            0.022576,           0.0066471,          0.00056423,             0.96436,             0.95677,             0.97432,             0.73745,            0.017277,           0.0062107,          0.00038005,            0.001981,            0.001981,            0.001981
                  83,            0.022172,           0.0065699,          0.00053183,             0.96585,             0.95485,             0.97437,             0.73698,            0.017243,           0.0061985,          0.00037747,            0.001882,            0.001882,            0.001882
                  84,            0.021892,           0.0065513,          0.00052822,             0.96797,             0.95257,             0.97471,             0.73825,            0.017222,           0.0061883,           0.0003739,            0.001783,            0.001783,            0.001783
                  85,            0.022172,           0.0066284,          0.00051227,             0.96492,             0.95341,             0.97458,             0.74001,             0.01719,            0.006175,          0.00036987,            0.001684,            0.001684,            0.001684
                  86,            0.021886,           0.0065945,          0.00054645,             0.96623,             0.95247,              0.9746,              0.7415,            0.017156,            0.006165,          0.00036793,            0.001585,            0.001585,            0.001585
                  87,            0.021857,           0.0065055,          0.00053139,             0.96715,             0.95227,             0.97469,             0.74189,            0.017125,           0.0061512,           0.0003656,            0.001486,            0.001486,            0.001486
                  88,            0.021462,           0.0065208,           0.0004562,             0.96691,             0.95141,             0.97503,             0.74175,            0.017093,           0.0061394,          0.00036387,            0.001387,            0.001387,            0.001387
                  89,            0.021295,           0.0064065,          0.00048413,             0.96677,             0.95039,             0.97497,             0.74198,            0.017061,           0.0061271,          0.00036203,            0.001288,            0.001288,            0.001288
                  90,            0.021255,           0.0064136,          0.00050307,             0.96689,             0.95023,             0.97527,             0.74284,            0.017032,           0.0061144,          0.00036054,            0.001189,            0.001189,            0.001189
                  91,            0.021112,           0.0063733,          0.00048221,             0.96678,             0.95025,              0.9751,             0.74321,            0.017003,           0.0061038,          0.00035808,             0.00109,             0.00109,             0.00109
                  92,            0.020978,            0.006304,          0.00049547,              0.9665,              0.9512,             0.97525,             0.74449,            0.016976,           0.0060936,          0.00035594,            0.000991,            0.000991,            0.000991
                  93,            0.020538,           0.0062923,          0.00043723,             0.96642,             0.95058,             0.97517,             0.74444,            0.016945,           0.0060842,            0.000354,            0.000892,            0.000892,            0.000892
                  94,             0.02056,           0.0062373,          0.00042613,              0.9655,             0.95132,             0.97523,             0.74519,            0.016919,           0.0060742,          0.00035247,            0.000793,            0.000793,            0.000793
                  95,            0.020191,           0.0061272,          0.00040663,             0.96513,             0.95159,             0.97532,             0.74661,            0.016895,           0.0060639,          0.00035105,            0.000694,            0.000694,            0.000694
                  96,             0.02055,           0.0061821,          0.00041566,             0.96443,             0.95172,             0.97516,             0.74627,            0.016872,           0.0060553,          0.00034846,            0.000595,            0.000595,            0.000595
                  97,            0.020346,           0.0062302,          0.00041026,             0.96486,              0.9522,             0.97518,             0.74695,            0.016852,           0.0060455,          0.00034679,            0.000496,            0.000496,            0.000496
                  98,             0.02051,           0.0062226,          0.00040942,             0.96473,             0.95554,              0.9755,             0.74745,            0.016834,           0.0060375,          0.00034485,            0.000397,            0.000397,            0.000397
                  99,            0.019983,           0.0062776,          0.00039835,             0.96472,              0.9554,             0.97581,             0.74828,            0.016819,           0.0060296,          0.00034254,            0.000298,            0.000298,            0.000298
